year,grass,deer,wolf,grass_tall,grass_short,deer_light,deer_dark,wolf_normal,wolf_fast,total
0,104,48,5,87,17,32,16,4,1,157
1,154,63,6,129,25,41,22,4,2,223
2,247,78,8,208,39,50,28,6,2,333
3,381,104,11,324,57,69,35,8,3,496
4,606,146,12,522,84,97,49,9,3,764
5,951,189,14,814,137,128,61,11,3,1154
6,1518,225,15,1312,206,148,77,12,3,1758
7,2447,295,18,2117,330,199,96,15,3,2760
8,3867,394,24,3336,531,269,125,21,3,4285
9,6120,509,25,5286,834,348,161,21,4,6654
10,9687,663,30,8367,1320,456,207,26,4,10380
11,15345,832,38,13271,2074,567,265,32,6,16215
12,24320,1073,48,21020,3300,732,341,39,9,25441
13,38697,1410,54,33465,5232,965,445,44,10,40161
14,61580,1828,72,53303,8277,1260,568,58,14,63480
15,98100,2377,90,84979,13121,1638,739,72,18,100567
16,156421,3138,118,135517,20904,2159,979,94,24,159677
17,249478,4067,144,216109,33369,2831,1236,112,32,253689
18,397587,5351,176,344372,53215,3710,1641,138,38,403114
19,633896,7053,211,549194,84702,4904,2149,162,49,641160
20,1010837,9186,267,875682,135155,6405,2781,208,59,1020290
21,1612246,12038,330,1396839,215407,8410,3628,264,66,1624614
22,2573088,15820,410,2229093,343995,11030,4790,339,71,2589318
23,4103971,20581,508,3555399,548572,14365,6216,414,94,4125060
24,6548434,27039,629,5674300,874134,18776,8263,519,110,6576102
25,10450133,35347,772,9055386,1394747,24571,10776,640,132,10486252
