year,grass,deer,wolf,grass_tall,grass_short,deer_light,deer_dark,wolf_normal,wolf_fast,total
0,103,47,5,77,26,29,18,2,3,155
1,156,67,6,119,37,43,24,2,4,229
2,244,82,7,189,55,52,30,2,5,333
3,382,107,9,299,83,69,38,3,6,498
4,607,149,13,475,132,96,53,5,8,769
5,966,210,18,755,211,135,75,7,11,1194
6,1525,240,26,1192,333,160,80,10,16,1791
7,2399,316,35,1879,520,208,108,13,22,2750
8,3758,423,46,2929,829,273,150,18,28,4227
9,5996,562,55,4666,1330,365,197,20,35,6613
10,9494,734,67,7393,2101,463,271,25,42,10295
11,15054,958,89,11708,3346,602,356,34,55,16101
12,23815,1216,103,18536,5279,749,467,43,60,25134
13,37925,1602,132,29559,8366,961,641,59,73,39659
14,60500,2111,158,47221,13279,1271,840,75,83,62769
15,96304,2754,186,75379,20925,1641,1113,89,97,99244
16,153561,3600,223,120307,33254,2143,1457,100,123,157384
17,244698,4708,270,191827,52871,2801,1907,125,145,249676
18,389671,6216,321,305588,84083,3699,2517,150,171,396208
19,621534,8179,386,487519,134015,4888,3291,185,201,630099
20,990786,10668,460,777324,213462,6369,4299,217,243,1001914
21,1579800,13989,566,1240166,339634,8288,5701,274,292,1594355
22,2519973,18277,696,1978947,541026,10812,7465,344,352,2538946
23,4019612,23946,838,3157709,861903,14100,9846,415,423,4044396
24,6412872,31499,1015,5040127,1372745,18524,12975,505,510,6445386
25,10232044,41304,1256,8044769,2187275,24213,17091,621,635,10274604
