year,grass,deer,wolf,grass_tall,grass_short,deer_light,deer_dark,wolf_normal,wolf_fast,total
0,98,43,5,82,16,26,17,3,2,146
1,154,54,8,131,23,33,21,4,4,216
2,243,73,10,209,34,43,30,6,4,326
3,367,102,10,310,57,64,38,6,4,479
4,583,146,12,498,85,91,55,7,5,741
5,923,205,18,786,137,133,72,11,7,1146
6,1468,261,24,1242,226,175,86,13,11,1753
7,2325,344,32,1964,361,228,116,19,13,2701
8,3680,434,40,3115,565,286,148,26,14,4154
9,5854,560,52,4947,907,369,191,32,20,6466
10,9289,735,65,7855,1434,478,257,44,21,10089
11,14752,944,83,12462,2290,622,322,59,24,15779
12,23525,1219,99,19900,3625,803,416,72,27,24843
13,37386,1593,122,31634,5752,1043,550,89,33,39101
14,59398,2081,158,50264,9134,1349,732,112,46,61637
15,94730,2737,197,80190,14540,1752,985,138,59,97664
16,150843,3566,257,127621,23222,2282,1284,181,76,154666
17,240538,4697,312,203545,36993,3008,1689,217,95,245547
18,383578,6131,394,324600,58978,3937,2194,274,120,390103
19,611360,7944,482,517447,93913,5106,2838,344,138,619786
20,975232,10341,581,825586,149646,6656,3685,417,164,986154
21,1555794,13536,704,1317407,238387,8701,4835,511,193,1570034
22,2482021,17714,849,2102377,379644,11439,6275,626,223,2500584
23,3960875,23318,1044,3355316,605559,15102,8216,783,261,3985237
24,6319266,30525,1296,5353535,965731,19743,10782,990,306,6351087
25,10084332,39906,1598,8544503,1539829,25832,14074,1234,364,10125836
