year,grass,deer,wolf,grass_tall,grass_short,deer_light,deer_dark,wolf_normal,wolf_fast,total
0,102,47,5,71,31,37,10,3,2,154
1,156,67,6,108,48,54,13,3,3,229
2,234,87,9,165,69,69,18,4,5,330
3,373,119,10,264,109,94,25,4,6,502
4,573,166,13,408,165,129,37,6,7,752
5,898,231,14,630,268,175,56,5,9,1143
6,1413,285,16,990,423,215,70,5,11,1714
7,2196,373,24,1558,638,287,86,8,16,2593
8,3491,490,25,2481,1010,373,117,9,16,4006
9,5552,646,28,3931,1621,495,151,9,19,6226
10,8781,849,32,6213,2568,643,206,10,22,9662
11,13962,1095,42,9852,4110,842,253,14,28,15099
12,22140,1443,50,15600,6540,1112,331,18,32,23633
13,35182,1867,65,24843,10339,1450,417,24,41,37114
14,55876,2445,77,39400,16476,1898,547,26,51,58398
15,88967,3191,95,62720,26247,2480,711,36,59,92253
16,141863,4201,108,100074,41789,3258,943,40,68,146172
17,225921,5489,134,159543,66378,4257,1232,53,81,231544
18,360040,7208,171,254428,105612,5612,1596,68,103,367419
19,574121,9438,218,405783,168338,7359,2079,89,129,583777
20,914588,12468,258,646775,267813,9727,2741,113,145,927314
21,1458734,16348,293,1032402,426332,12734,3614,125,168,1475375
22,2325128,21483,352,1645823,679305,16692,4791,157,195,2346963
23,3708253,28256,441,2626209,1082044,21952,6304,188,253,3736950
24,5913508,37110,538,4190019,1723489,28911,8199,229,309,5951156
25,9430723,48813,666,6686371,2744352,38007,10806,275,391,9480202
