year,grass,deer,wolf,grass_tall,grass_short,deer_light,deer_dark,wolf_normal,wolf_fast,total
0,104,43,5,77,27,35,8,1,4,152
1,161,57,6,115,46,48,9,1,5,224
2,246,75,8,178,68,62,13,2,6,329
3,388,107,11,283,105,89,18,2,9,506
4,612,150,12,452,160,124,26,3,9,774
5,968,207,17,709,259,174,33,5,12,1192
6,1524,245,21,1116,408,205,40,7,14,1790
7,2434,331,27,1792,642,272,59,10,17,2792
8,3894,429,34,2866,1028,349,80,11,23,4357
9,6169,553,39,4563,1606,452,101,14,25,6761
10,9796,738,53,7252,2544,601,137,23,30,10587
11,15505,975,70,11465,4040,794,181,29,41,16550
12,24737,1252,84,18317,6420,1016,236,39,45,26073
13,39362,1666,95,29208,10154,1354,312,40,55,41123
14,62621,2165,120,46440,16181,1763,402,50,70,64906
15,99569,2860,137,73837,25732,2333,527,52,85,102566
16,158759,3699,155,117826,40933,3005,694,63,92,162613
17,252972,4846,190,187866,65106,3925,921,74,116,258008
18,403347,6360,234,299566,103781,5161,1199,94,140,409941
19,642750,8405,294,477627,165123,6842,1563,118,176,651449
20,1024721,11137,353,761618,263103,9073,2064,140,213,1036211
21,1634831,14683,421,1215685,419146,11976,2707,174,247,1649935
22,2607973,19172,513,1940117,667856,15647,3525,217,296,2627658
23,4159108,25227,648,3095514,1063594,20637,4590,282,366,4184983
24,6633622,33121,785,4939084,1694538,27125,5996,348,437,6667528
25,10581779,43519,968,7881229,2700550,35642,7877,437,531,10626266
